n_bits,noise,probability,shots,time_sampling,l2_pop,fro_norm,fidelity
3,none,0.0,1024,0.005576657000347041,0.25588546503430065,1.2247448713915885,0.2499999999999998
4,none,0.0,1024,0.0008667949950904585,0.1848310616814844,1.2226344318323703,0.25258252304896767
5,none,0.0,1024,0.0016453360003652051,0.12720827724948267,1.2239040990808223,0.2510293781265795
6,none,0.0,1024,0.012591222999617457,0.09182803659920026,1.224472586612859,0.25033344231680565
7,none,0.0,1024,0.03963580100389663,0.06792552055577813,1.2246652750073708,0.2500974820955591
3,Depolarizing,0.01,1024,0.001086882002709899,0.24255736626153898,1.199707993408791,0.2464907528111778
4,Depolarizing,0.01,1024,0.0025077770042116754,0.16725753315609118,1.19139559085755,0.24722913050855372
5,Depolarizing,0.01,1024,0.009416007000254467,0.1179580784701378,1.186488830358805,0.2441034449399357
6,Depolarizing,0.01,1024,0.05107915899861837,0.08359740062122147,1.1810248785498894,0.24181662322500355
7,Depolarizing,0.01,1024,0.24357085300289327,0.062086645801766926,1.175318331021987,0.23997800706251102
3,AmplitudeDamping,0.01,1024,0.0009748979937285185,0.2431973966860723,1.2109731276313174,0.25179211200590557
4,AmplitudeDamping,0.01,1024,0.0017329559996142052,0.17101279655895363,1.205330996439933,0.2533099911871394
5,AmplitudeDamping,0.01,1024,0.005510958006198052,0.12364993586987823,1.2030942309906738,0.2510148042358501
6,AmplitudeDamping,0.01,1024,0.02825109699915629,0.09394307917043936,1.2002498701906068,0.2496399775085332
7,AmplitudeDamping,0.01,1024,0.1501091969985282,0.06597400685177553,1.1971008491120185,0.24875081954129472
3,PhaseDamping,0.01,1024,0.0009552330011501908,0.252168784882935,1.1979303252947435,0.24477416587941908
4,PhaseDamping,0.01,1024,0.003134454003884457,0.17775583661633132,1.1899156919986393,0.2447761760169457
5,PhaseDamping,0.01,1024,0.008119311001792084,0.12468680245340598,1.185616324638937,0.24081762768407974
6,PhaseDamping,0.01,1024,0.029941559994767886,0.08625872139442807,1.1807929498267902,0.23771538820556684
7,PhaseDamping,0.01,1024,0.15601953500299715,0.07067776219813371,1.1757106039784961,0.23508753749636027
3,BitFlip,0.01,1024,0.0008465299979434349,0.2269410226979757,1.2012165460199085,0.24999999999999983
4,BitFlip,0.01,1024,0.001838931995735038,0.17479104782679983,1.191896065655413,0.2523826399830193
5,BitFlip,0.01,1024,0.006224903998372611,0.11645277488878002,1.1860334057824014,0.2509305819059845
6,BitFlip,0.01,1024,0.028381894997437485,0.08206611982091597,1.1797319956591172,0.25029539014277724
7,BitFlip,0.01,1024,0.16872675099875778,0.062055917442645527,1.173308022146431,0.25008462795213954
3,none,0.0,1024,0.0006981410042499192,0.2571977163257931,1.2247448713915885,0.2499999999999998
4,none,0.0,1024,0.0009564239953760989,0.1789748947183742,1.2226344318323703,0.25258252304896767
5,none,0.0,1024,0.0018755410055746324,0.13033359859924118,1.2239040990808223,0.2510293781265795
6,none,0.0,1024,0.0070421479977085255,0.0906468858271273,1.224472586612859,0.25033344231680565
7,none,0.0,1024,0.03490317099931417,0.06697823515422753,1.2246652750073708,0.2500974820955591
3,Depolarizing,0.1,1024,0.0013128630016581155,0.12568476986872007,1.0407157833535785,0.2177350442251002
4,Depolarizing,0.1,1024,0.0029554930006270297,0.084199850760937,1.0129689124916657,0.20371813414497023
5,Depolarizing,0.1,1024,0.010490244996617548,0.05484422297694911,0.993122738838722,0.18913834455486275
6,Depolarizing,0.1,1024,0.06358710500353482,0.04572148402624854,0.9776394977800881,0.17610856645025724
7,Depolarizing,0.1,1024,0.22989598699496128,0.03797309002973356,0.9658365709867565,0.16421416415531503
3,AmplitudeDamping,0.1,1024,0.0008929539981181733,0.18443850700493902,1.1055800388672388,0.26754380002399275
4,AmplitudeDamping,0.1,1024,0.0029176449970691465,0.13626459166059865,1.080980768056377,0.25923239848069757
5,AmplitudeDamping,0.1,1024,0.006736996998370159,0.0902356432540743,1.0619618309417702,0.24999517174724617
6,AmplitudeDamping,0.1,1024,0.02834913800325012,0.0669070044256275,1.0449209682352658,0.24240228913623182
7,AmplitudeDamping,0.1,1024,0.14611078299640212,0.04941058844013093,1.029786829052762,0.23568465993843937
3,PhaseDamping,0.1,1024,0.0009507849972578697,0.20643616568549633,1.0326503926810162,0.2048292893218811
4,PhaseDamping,0.1,1024,0.001982710004085675,0.14095014494272434,1.0097399596694139,0.18409985223173572
5,PhaseDamping,0.1,1024,0.025476936003542505,0.09845377469631687,0.9943366940653583,0.16437410905333982
6,PhaseDamping,0.1,1024,0.04790725499333348,0.07644681949523799,0.982619000063639,0.14733263352235748
7,PhaseDamping,0.1,1024,0.31734501699975226,0.05724355816309705,0.9739838584937991,0.13235099624621155
3,BitFlip,0.1,1024,0.4042632689961465,0.11881198269301507,1.063518688129174,0.24999999999999978
4,BitFlip,0.1,1024,0.003569301996321883,0.07972004543733809,1.0400775481149722,0.2510623869535729
5,BitFlip,0.1,1024,0.00641988300048979,0.046895340638839725,1.02616324234107,0.25033804563403017
6,BitFlip,0.1,1024,0.027761891004047357,0.04283537538957287,1.0169487464996485,0.25008749268039576
7,BitFlip,0.1,1024,0.15438434899988351,0.03653962291771427,1.0109150956178792,0.250020451003706
3,none,0.0,1024,0.0007783580003888346,0.24600072646615295,1.2247448713915885,0.2499999999999998
4,none,0.0,1024,0.0009139700050582178,0.18265635024590918,1.2226344318323703,0.25258252304896767
5,none,0.0,1024,0.0016128099960042164,0.12464090265341395,1.2239040990808223,0.2510293781265795
6,none,0.0,1024,0.009596964999218471,0.08997103754907047,1.224472586612859,0.25033344231680565
7,none,0.0,1024,0.037316192996513564,0.06716308150019297,1.2246652750073708,0.2500974820955591
3,Depolarizing,0.5,1024,0.002033212993410416,0.034221514585811,0.9286357020149381,0.1416831175490429
4,Depolarizing,0.5,1024,0.0023897580031189136,0.03288566062594284,0.9502222625880549,0.08887588663536576
5,Depolarizing,0.5,1024,0.01124337700457545,0.02919905544477745,0.963217102594083,0.058496370619775216
6,Depolarizing,0.5,1024,0.0520586800048477,0.03167436472700558,0.9731153787272285,0.03895943948761639
7,Depolarizing,0.5,1024,0.2521811280021211,0.029717039169341677,0.9806947655207565,0.02602753022694522
3,AmplitudeDamping,0.5,1024,0.0010543999960646033,0.36613150180137205,0.9291947671723813,0.33050644548829333
4,AmplitudeDamping,0.5,1024,0.0016728960035834461,0.3317554001185399,0.9472240766635435,0.27175493552919566
5,AmplitudeDamping,0.5,1024,0.006494398003269453,0.24905215827023564,0.9610128459833999,0.22767803899557781
6,AmplitudeDamping,0.5,1024,0.029321382004127372,0.21683206358568866,0.9714951346269063,0.1925437256781119
7,AmplitudeDamping,0.5,1024,0.14508661499712616,0.17991557366570837,0.9795318525876999,0.16360041224193764
3,PhaseDamping,0.5,1024,0.0009126219956669956,0.028671715343560934,0.9354143466934853,0.125
4,PhaseDamping,0.5,1024,0.0016402399996877648,0.027413415718004295,0.968245836551854,0.062499999999999986
5,PhaseDamping,0.5,1024,0.005567616994085256,0.03218214268219547,0.9842509842514764,0.03125
6,PhaseDamping,0.5,1024,0.02938950600218959,0.034499065884093155,0.9921567416492211,0.015624999999999997
7,PhaseDamping,0.5,1024,0.14358672800153727,0.03262361931345716,0.9960860906568267,0.007812499999999999
3,BitFlip,0.5,1024,0.0010594000050332397,0.03526459001028865,0.9999999999999999,0.24999999999999997
4,BitFlip,0.5,1024,0.001626989003852941,0.02298555135925746,0.9999922331800075,0.25000776678983055
5,BitFlip,0.5,1024,0.006577070998901036,0.03485657870620068,0.9999989008062841,0.25000109919311175
6,BitFlip,0.5,1024,0.030663622004794888,0.026992724533369636,0.9999998878131995,0.25000011218679435
7,BitFlip,0.5,1024,0.1413447590020951,0.029877067462457725,0.9999999904761676,0.2500000095238321
3,none,0.0,1024,0.000680797005770728,0.26885459106679827,1.2247448713915885,0.2499999999999998
4,none,0.0,1024,0.0008767410035943612,0.1782594407672599,1.2226344318323703,0.25258252304896767
5,none,0.0,1024,0.0017844570029410534,0.1283799031629671,1.2239040990808223,0.2510293781265795
6,none,0.0,1024,0.014982360000431072,0.09169292651801174,1.224472586612859,0.25033344231680565
7,none,0.0,1024,0.056674917999771424,0.06971315741240136,1.2246652750073708,0.2500974820955591
3,Depolarizing,0.9,1024,0.0013984260003780946,0.025390625,0.9427970605095916,0.12156801948466038
4,Depolarizing,0.9,1024,0.002382463004323654,0.029426795260389382,0.9746843680912265,0.05926852744310014
5,Depolarizing,0.9,1024,0.010793805005960166,0.027413415718004295,0.9921155869161156,0.025669307097347164
6,Depolarizing,0.9,1024,0.05110830799821997,0.02631287809630367,0.9989192853072159,0.010343637365642266
7,Depolarizing,0.9,1024,0.38983293500496075,0.029556144434417102,1.0007483211879573,0.004068318162310267
3,AmplitudeDamping,0.9,1024,0.0010725730026024394,0.7809557551356493,1.0875004573328333,0.3374472336709209
4,AmplitudeDamping,0.9,1024,0.0015225009992718697,0.7759180845304272,1.176064997282134,0.21770396330094852
5,AmplitudeDamping,0.9,1024,0.005851271002029534,0.7555830102806738,1.2235995056837257,0.14221468434568624
6,AmplitudeDamping,0.9,1024,0.027365393994841725,0.7096902155351779,1.2489247206637422,0.09331129580486741
7,AmplitudeDamping,0.9,1024,0.14143322000018088,0.7047777883539118,1.2610208307605457,0.06133433934414012
3,PhaseDamping,0.9,1024,0.000970812005107291,0.19213231232526487,1.0849558716606962,0.14944808434849913
4,PhaseDamping,0.9,1024,0.0018451830037520267,0.14728945430549117,1.0730339872297991,0.11818627643319017
5,PhaseDamping,0.9,1024,0.018406916999083478,0.11083016374305553,1.1098278493751397,0.042867912011428845
6,PhaseDamping,0.9,1024,0.02790811299928464,0.07899901725061205,1.115290159628094,0.00816661308376073
7,PhaseDamping,0.9,1024,0.14249114899575943,0.05898308152555273,1.1006191515976937,0.0009920161176324967
3,BitFlip,0.9,1024,0.0011741589987650514,0.12123542619405074,1.063518688129174,0.24999999999999967
4,BitFlip,0.9,1024,0.0021499240028788336,0.08580422904878436,1.0400775481149722,0.2510623869535729
5,BitFlip,0.9,1024,0.0065762710000853986,0.05505249292756017,1.0268197435263953,0.24966415275219256
6,BitFlip,0.9,1024,0.027621127999736927,0.04523919852304871,1.0169487464996485,0.25008749268039576
7,BitFlip,0.9,1024,0.19878990299912402,0.035507146411519225,1.0109555363454927,0.24997956804395735
