channel,p,bits,fidelity,fro_norm,l2_pop
Depolarize,0.0,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
Depolarize,0.01,1,0.9949998855590816,0.007071148325984425,0.007071148325984425
Depolarize,0.05,1,0.9749998450279231,0.03535544627055021,0.03535544627055021
Depolarize,0.1,1,0.949999868869781,0.07071076610026787,0.07071076610026787
Depolarize,0.2,1,0.8999999165534969,0.14142140575987278,0.14142140575987278
Depolarize,0.5,1,0.7499999403953549,0.35355341166670334,0.35355341166670334
Depolarize,1.0,1,0.499999940395355,0.7071067811865522,0.7071067811865522
AmpDamp,0.0,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
AmpDamp,0.01,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
AmpDamp,0.05,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
AmpDamp,0.1,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
AmpDamp,0.2,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
AmpDamp,0.5,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
AmpDamp,1.0,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,0.0,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,0.01,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,0.05,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,0.1,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,0.2,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,0.5,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,1.0,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
BitFlip,0.0,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
BitFlip,0.01,1,0.9899998903274532,0.014142212357553835,0.014142212357553835
BitFlip,0.05,1,0.949999868869781,0.07071076610026787,0.07071076610026787
BitFlip,0.1,1,0.8999999165534969,0.14142140575987278,0.14142140575987278
BitFlip,0.2,1,0.7999998927116391,0.28284276937288005,0.28284276937288005
BitFlip,0.5,1,0.499999940395355,0.7071067811865522,0.7071067811865522
BitFlip,1.0,1,3.749399009691397e-33,1.4142134780794002,1.4142134780794002
Depolarize,0.0,2,0.9999999292194841,7.529715632331339e-08,4.470348355378739e-08
Depolarize,0.01,2,0.9875499457120893,0.014933410183655885,0.005567838296447471
Depolarize,0.05,2,0.9387499280273912,0.07333575888267119,0.027393285472810395
Depolarize,0.1,2,0.8799999132752416,0.14335276448723305,0.05367731194540721
Depolarize,0.2,2,0.7699999436736107,0.27349593526690263,0.10295631032541956
Depolarize,0.5,2,0.4999999515712261,0.586301997379023,0.2253469629821811
Depolarize,1.0,2,0.24999997019767758,0.8660254037844406,0.3535533905932787
AmpDamp,0.0,2,0.9999999292194841,7.529715632331339e-08,4.470348355378739e-08
AmpDamp,0.01,2,0.9943889901041982,0.010435234167551106,0.006103487954288534
AmpDamp,0.05,2,0.9722254462540147,0.05172508579778274,0.030129930975118978
AmpDamp,0.1,2,0.9451476484537122,0.10236997923043935,0.05937170981402608
AmpDamp,0.2,2,0.8930494375526904,0.2007510303784338,0.11575835388969112
AmpDamp,0.5,2,0.7522207964211701,0.4795135776592229,0.2795084638674694
AmpDamp,1.0,2,0.4999999403953551,0.9999999403953606,0.6123723383618211
PhaseFlip,0.0,2,0.9999999292194841,7.529715632331339e-08,4.470348355378739e-08
PhaseFlip,0.01,2,0.9825999327003954,0.023281809831397517,4.470348355378739e-08
PhaseFlip,0.05,2,0.9149999059736726,0.11302663486144975,4.470348355378739e-08
PhaseFlip,0.1,2,0.8349999710917471,0.21771543291066872,2.9802322498717615e-08
PhaseFlip,0.2,2,0.6899999491870403,0.4029888648892035,4.470348355378739e-08
PhaseFlip,0.5,2,0.3749999739229678,0.7905694150420961,4.470348355378739e-08
PhaseFlip,1.0,2,0.24999997392296797,1.2247448348913492,4.470348355378739e-08
BitFlip,0.0,2,0.9999999292194841,7.529715632331339e-08,4.470348355378739e-08
BitFlip,0.01,2,0.9825999550521372,0.023281782118832504,0.01109100176085759
BitFlip,0.05,2,0.914999898523092,0.11302662233688016,0.053677315068452525
BitFlip,0.1,2,0.8349999822676181,0.21771541100881442,0.10295629295747535
BitFlip,0.2,2,0.6899999640882015,0.40298884667822377,0.18867961644941864
BitFlip,0.5,2,0.3749999664723873,0.7905694197542573,0.35355340112998784
BitFlip,1.0,2,0.24999997019767767,1.2247448379330361,0.4999999925494212
Depolarize,0.0,3,0.9999998642022844,1.438630429716002e-07,5.96080570383471e-08
Depolarize,0.01,3,0.9820711608603894,0.02038438571645961,0.0048051907801680595
Depolarize,0.05,3,0.9127377466787165,0.09881931291888298,0.02353572177386792
Depolarize,0.1,3,0.8313044394061624,0.19010470113422104,0.04585193515246894
Depolarize,0.2,3,0.6850917818778748,0.35153498200876726,0.08686482812505054
Depolarize,0.5,3,0.36470293749086796,0.692099847916005,0.18162355641848454
Depolarize,1.0,3,0.12499998482606081,0.9354143459894733,0.24999999736582604
AmpDamp,0.0,3,0.9999998642022844,1.438630429716002e-07,5.96080570383471e-08
AmpDamp,0.01,3,0.990582667714416,0.01553994861877936,0.007766488489592806
AmpDamp,0.05,3,0.953670328967184,0.075940252893215,0.037760303088307835
AmpDamp,0.1,3,0.9091961990439476,0.14771210103346463,0.07313781052105348
AmpDamp,0.2,3,0.8255624413862311,0.28026150927922966,0.1387206296175706
AmpDamp,0.5,3,0.6117920912541672,0.616700064271301,0.32851866038924615
AmpDamp,1.0,3,0.2499999701976775,1.22474479839111,0.8291560897599921
PhaseFlip,0.0,3,0.9999998642022844,1.438630429716002e-07,5.96080570383471e-08
PhaseFlip,0.01,3,0.9709537358015939,0.034839317603519826,5.96080570383471e-08
PhaseFlip,0.05,3,0.861210130107126,0.16478794930034102,5.96080570383471e-08
PhaseFlip,0.1,3,0.7379141226830157,0.30741707333374424,5.9140589415205325e-08
PhaseFlip,0.2,3,0.533742560744602,0.5350359544527955,5.96080570383471e-08
PhaseFlip,0.5,3,0.18749997529759344,0.9013878188659998,5.96080570383471e-08
PhaseFlip,1.0,3,0.010723303807353073,1.406610507848524,5.96080570383471e-08
BitFlip,0.0,3,0.9999998642022844,1.438630429716002e-07,5.96080570383471e-08
BitFlip,0.01,3,0.979941586842041,0.026514549422061117,0.009561271822420886
BitFlip,0.05,3,0.9028017748166746,0.1273806562467517,0.04585192359330387
BitFlip,0.1,3,0.813205758346931,0.24228992031267674,0.08686482683846641
BitFlip,0.2,3,0.6559410328383266,0.4380020014737938,0.15467663923757694
BitFlip,0.5,3,0.3437499581811144,0.810092587875811,0.2500000000000035
BitFlip,1.0,3,0.24999996399457264,1.2247447899115325,0.19134171678949186
Depolarize,0.0,4,0.9999997919722274,2.3030990897033997e-07,6.823691898055432e-08
Depolarize,0.01,4,0.9770277170736033,0.02540860070539806,0.003519067391406003
Depolarize,0.05,4,0.8893078308702311,0.12178458685820956,0.017225197133083275
Depolarize,0.1,4,0.7886421059102371,0.23105961595905608,0.03353137752066024
Depolarize,0.2,4,0.6148409678353187,0.41609535495694644,0.06342154750679066
Depolarize,0.5,4,0.2716616280969094,0.7654815107801332,0.13179222966337198
Depolarize,1.0,4,0.06249998710521399,0.9682458366438754,0.17677669580067232
AmpDamp,0.0,4,0.9999997919722274,2.3030990897033997e-07,6.823691898055432e-08
AmpDamp,0.01,4,0.9874650031287991,0.01941293997893694,0.006649053150170884
AmpDamp,0.05,4,0.9385940275552234,0.09404734467212658,0.032307766551018725
AmpDamp,0.1,4,0.8802858148303054,0.18101482013963688,0.06262331305693046
AmpDamp,0.2,4,0.7724627211239223,0.3366203847669437,0.11956463305821642
AmpDamp,0.5,4,0.5094687262958729,0.7031268494495315,0.3007935760666641
AmpDamp,1.0,4,0.12499997764825818,1.322875537258,0.9185584832092328
PhaseFlip,0.0,4,0.9999997919722274,2.3030990897033997e-07,6.823691898055432e-08
PhaseFlip,0.01,4,0.9607943349204224,0.04476494106384805,6.823691898055432e-08
PhaseFlip,0.05,4,0.8162554866147487,0.2071936437918035,6.823691898055432e-08
PhaseFlip,0.1,4,0.6611163981244017,0.37666760011722594,6.823691898055432e-08
PhaseFlip,0.2,4,0.42347019087784854,0.6254568666432829,6.823691898055432e-08
PhaseFlip,0.5,4,0.09374998058460218,0.9519716382329882,6.823691898055432e-08
PhaseFlip,1.0,4,0.002680826626062562,1.4123165122211037,6.823691898055432e-08
BitFlip,0.0,4,0.9999997919722274,2.3030990897033997e-07,6.823691898055432e-08
BitFlip,0.01,4,0.9792126685876082,0.027419712807046893,0.007001011348659608
BitFlip,0.05,4,0.8995028963416983,0.1313337926906924,0.03353137653259496
BitFlip,0.1,4,0.8074153201067265,0.24892141147777588,0.06342154626112263
BitFlip,0.2,4,0.6472291671439269,0.4470742223875665,0.11250866945381477
BitFlip,0.5,4,0.3368852568215688,0.8143185402019015,0.17677669386129088
BitFlip,1.0,4,0.24999994631780004,1.224744745368972,0.06897485572300628
