target,n_bits,shots,sim_time_s,l2_error
qiskit-aer,3,1024,0.0012064019974786,0.038571128238538
qiskit-aer,4,1024,0.0014291999978013,0.029296875
qiskit-aer,5,1024,0.0018128379961126,0.031097037750177
qiskit-aer,6,1024,0.0022577359995921,0.0355876311685324
qiskit-aer,7,1024,0.0028174489998491,0.0323299714008727
qiskit-aer,8,1024,0.0038019950006855,0.0288705966779189
qiskit-aer,9,1024,0.0048235930007649,0.0328566481274623
qiskit-aer,10,1024,0.0054210890011745,0.0320336317712045
qiskit-aer,11,1024,0.0063213699977495,0.0318545047466798
qiskit-aer,12,1024,0.0079218190003302,0.03125
qiskit-aer,13,1024,0.0104385459999321,0.0315537000418037
qiskit-aer,14,1024,0.015473284998734,0.03125
qiskit-aer,15,1024,0.0118461699967156,0.0312805026914979
qiskit-aer,16,1024,0.0145931209990521,0.0313109756677371
qiskit-aer,17,1024,0.0200269839988322,0.0313109756677371
qiskit-aer,18,1024,0.0371644409970031,0.0313414190153929
qiskit-aer,19,1024,0.0511149600060889,0.03125
qiskit-aer,20,1024,0.0942189979978138,0.0313262010397371
qiskit-aer,21,1024,0.1938726020016474,0.0312423696739187
qiskit-aer,22,1024,0.4078369460039539,0.0312461850698753
qiskit-aer,23,1024,0.8922257750018616,0.0312785971447451
qiskit-aer,24,1024,2.2372079370034044,0.0312490463111312
qiskit-aer,25,1024,4.0803856030033785,0.0312495231592037
qiskit-aer,26,1024,8.187253930002043,0.0312497615805113
qiskit-aer,27,1024,21.631411138994736,0.031249880790483
qiskit-aer,28,1024,47.887591856000654,0.0312499403952983
qiskit-aer,3,2048,0.0020392060032463,0.0226090564507621
qiskit-aer,4,2048,0.0022444859932875,0.0187082461529961
qiskit-aer,5,2048,0.0027685229943017,0.0224715498027418
qiskit-aer,6,2048,0.0035536759969545,0.0234883075601673
qiskit-aer,7,2048,0.0045058839968987,0.0225139489910127
qiskit-aer,8,2048,0.0056263559963554,0.0223118352710856
qiskit-aer,9,2048,0.0079480759959551,0.0218366013427713
qiskit-aer,10,2048,0.0079327880011987,0.0216722080284884
qiskit-aer,11,2048,0.0092424670001491,0.0218584270367181
qiskit-aer,12,2048,0.0112169549975078,0.0220754971786275
qiskit-aer,13,2048,0.0140219970053294,0.0221186555720822
qiskit-aer,14,2048,0.0201511890045367,0.0221402032202238
qiskit-aer,15,2048,0.0222899040018091,0.0220214302417571
qiskit-aer,16,2048,0.0199232590020983,0.022043072930265
qiskit-aer,17,2048,0.0258360529987839,0.0220106009171575
qiskit-aer,18,2048,0.0367960709991166,0.0220754971786275
qiskit-aer,19,2048,0.0683444429960218,0.0220646943900293
qiskit-aer,20,2048,0.1088350669961073,0.0220862946833957
qiskit-aer,21,2048,0.2274245410008006,0.0221078738724058
qiskit-aer,22,2048,0.4775967880050302,0.0221132653793442
qiskit-aer,23,2048,2.4470322790002683,0.0220943893491186
qiskit-aer,24,2048,5.563761012002942,0.0220957381717657
qiskit-aer,25,2048,8.16783508699882,0.0220964125522133
qiskit-aer,26,2048,10.866920663997009,0.022096749734719
qiskit-aer,27,2048,23.528321644000243,0.0220969183240424
qiskit-aer,28,2048,48.29114345900598,0.0220970026182218
qiskit-aer,3,4096,0.0234235499956412,0.015575329988024
qiskit-aer,4,4096,0.0031813669993425,0.0123671143964003
qiskit-aer,5,4096,0.0173595230007777,0.0135975589019964
qiskit-aer,6,4096,0.0220170700049493,0.0155561839082753
qiskit-aer,7,4096,0.0346632790024159,0.0149823593677404
qiskit-aer,8,4096,0.0076482720032799,0.015494757473264
qiskit-aer,9,4096,0.0305867429997306,0.01588978524929
qiskit-aer,10,4096,0.0108563090034294,0.015689715833066
qiskit-aer,11,4096,0.0140522740039159,0.0155408500613667
qiskit-aer,12,4096,0.0155721720002475,0.0158860336767553
qiskit-aer,13,4096,0.0179069830046501,0.0156592946394771
qiskit-aer,14,4096,0.0235992290035937,0.015636439903912
qiskit-aer,15,4096,0.0177437079983064,0.0156440618589851
qiskit-aer,16,4096,0.0219005629987805,0.015609733753072
qiskit-aer,17,4096,0.0285864980032783,0.0156288142317179
qiskit-aer,18,4096,0.0393785619962727,0.0156020950279984
qiskit-aer,19,4096,0.1901325469953008,0.0156478714442988
qiskit-aer,20,4096,0.1214544780013966,0.015625
qiskit-aer,21,4096,0.2412889650004217,0.0156173687419135
qiskit-aer,22,4096,0.503545387997292,0.015625
qiskit-aer,23,4096,0.9680663920007646,0.0156211848369593
qiskit-aer,24,4096,2.3573761049992754,0.0156230925349376
qiskit-aer,25,4096,6.183489274997555,0.0156240462965779
qiskit-aer,26,4096,10.820907474000704,0.0156245231555656
qiskit-aer,27,4096,22.92604064099578,0.0156247615796018
qiskit-aer,28,4096,47.52709006000077,0.0156248807902556
qiskit-aer,3,8192,0.0044821589981438,0.0120101307385242
qiskit-aer,4,8192,0.0049811329954536,0.0089102966752415
qiskit-aer,5,8192,0.0057131790017592,0.0107046685880828
qiskit-aer,6,8192,0.0071232690024771,0.0099903942703174
qiskit-aer,7,8192,0.0088665739967837,0.0116894674022208
qiskit-aer,8,8192,0.0158506719963043,0.01123046875
qiskit-aer,9,8192,0.0186745440005324,0.0106278314744525
qiskit-aer,10,8192,0.0160744320019148,0.010971398275694
qiskit-aer,11,8192,0.0177906239987351,0.011283417976847
qiskit-aer,12,8192,0.0199983050042646,0.0110512405251526
qiskit-aer,13,8192,0.0244713159991079,0.0111331872709671
qiskit-aer,14,8192,0.0306485420005628,0.0110012377129316
qiskit-aer,15,8192,0.0211796599978697,0.0110956475152903
qiskit-aer,16,8192,0.0252968500062706,0.0110336977914811
qiskit-aer,17,8192,0.0325280969991581,0.0110080081226518
qiskit-aer,18,8192,0.0460366549959871,0.0110660626553006
qiskit-aer,19,8192,0.0670801169981132,0.0110471946745593
qiskit-aer,20,8192,0.1181726560025708,0.0110417979010694
qiskit-aer,21,8192,0.2301617020057165,0.0110525888129054
qiskit-aer,22,8192,0.6932671359973028,0.0110498920728841
qiskit-aer,23,8192,1.0140360910008894,0.0110498920728841
qiskit-aer,24,8192,2.614180573997146,0.0110458457283824
qiskit-aer,25,8192,5.349375089004752,0.0110498920728841
qiskit-aer,26,8192,11.406388914998388,0.0110478690858828
qiskit-aer,27,8192,22.924877735997143,0.0110482062761066
qiskit-aer,28,8192,47.36569698799576,0.0110483748673595
qiskit-aer,3,16384,0.0070914030002313,0.0049974339576315
qiskit-aer,4,16384,0.0080623850008123,0.0085523300754824
qiskit-aer,5,16384,0.0092912870022701,0.0094913102360741
qiskit-aer,6,16384,0.0113468729978194,0.0081718757877385
qiskit-aer,7,16384,0.0145843339996645,0.0078940899483519
qiskit-aer,8,16384,0.0197678740005358,0.0079444237195999
qiskit-aer,9,16384,0.0267778699999325,0.0080912453741787
qiskit-aer,10,16384,0.0264965539972763,0.0077015629668341
qiskit-aer,11,16384,0.0278540369981783,0.0077670683718692
qiskit-aer,12,16384,0.0310190259988303,0.0077593905562061
qiskit-aer,13,16384,0.0356286860042018,0.0077348666564652
qiskit-aer,14,16384,0.0579681620001792,0.0078486559598039
qiskit-aer,15,16384,0.0305376749965944,0.0077895781902069
qiskit-aer,16,16384,0.0441114240020397,0.0078110693575341
qiskit-aer,17,16384,0.0418174419974093,0.007791969024857
qiskit-aer,18,16384,0.0538890670068212,0.0078186964257323
qiskit-aer,19,16384,0.0919081780011765,0.0078072530292948
qiskit-aer,20,16384,0.1429656419932143,0.007815837147368
qiskit-aer,21,16384,0.2558579989999998,0.0078148838221041
qiskit-aer,22,16384,0.5105519569988246,0.0078101154503
qiskit-aer,23,16384,1.7427080929992371,0.0078110693575341
qiskit-aer,24,16384,2.962631103000604,0.0078101154503
qiskit-aer,25,16384,5.427679734995763,0.0078134536161158
qiskit-aer,26,16384,11.245692787000737,0.0078139303805313
qiskit-aer,27,16384,25.25025309500052,0.0078120231482889
qiskit-aer,28,16384,48.29219088699756,0.0078127384149412
qiskit-aer,3,32768,0.0130219179991399,0.002543416325197
qiskit-aer,4,32768,0.0144724450001376,0.0044478257755876
qiskit-aer,5,32768,0.0170683129981625,0.0051194999653119
qiskit-aer,6,32768,0.0202176979946671,0.0052278668952705
qiskit-aer,7,32768,0.0287264910002704,0.0058581032962411
qiskit-aer,8,32768,0.0338263169978745,0.005733569938422
qiskit-aer,9,32768,0.045727677999821,0.0055909669015648
qiskit-aer,10,32768,0.0426622980012325,0.0057625721444932
qiskit-aer,11,32768,0.0468645630026003,0.0055246088925188
qiskit-aer,12,32768,0.0514382129986188,0.0055448012437964
qiskit-aer,13,32768,0.0568143000054988,0.0055719448442515
qiskit-aer,14,32768,0.0667874020000454,0.0054875663210221
qiskit-aer,15,32768,0.054099450004287,0.0055170177073834
qiskit-aer,16,32768,0.0893273510009748,0.0055454730559081
qiskit-aer,17,32768,0.067615042993566,0.0055326946764177
qiskit-aer,18,32768,0.0746944530037581,0.0055262944064527
qiskit-aer,19,32768,0.0982384380040457,0.0055207302575715
qiskit-aer,20,32768,0.190615956998954,0.0055170177073834
qiskit-aer,21,32768,0.274772564000159,0.0055222483087243
qiskit-aer,22,32768,0.5450153909987421,0.0055217423380452
qiskit-aer,23,32768,1.300340171001153,0.0055256202625763
qiskit-aer,24,32768,2.912242899998091,0.0055235973372796
qiskit-aer,25,32768,5.614698753000994,0.0055247774670521
qiskit-aer,26,32768,11.470003488997463,0.0055251146006889
qiskit-aer,27,32768,24.099289416997635,0.0055239345429414
qiskit-aer,28,32768,49.84602499799803,0.0055246088925188
qiskit-aer,3,65536,0.0246752290040603,0.003431497773881
qiskit-aer,4,65536,0.0668211430020164,0.0037109927123128
qiskit-aer,5,65536,0.031203551996441,0.0038082831818549
qiskit-aer,6,65536,0.0375269370051682,0.0043153517285064
qiskit-aer,7,65536,0.053291440999601,0.0039761371160191
qiskit-aer,8,65536,0.0569979420033632,0.003940491799925
qiskit-aer,9,65536,0.0930557739993673,0.0035197234106581
qiskit-aer,10,65536,0.0782868520036572,0.0039736769611177
qiskit-aer,11,65536,0.0809817569970619,0.0039372998254847
qiskit-aer,12,65536,0.0885044120004749,0.0039092886550052
qiskit-aer,13,65536,0.097766833998321,0.0038965820835645
qiskit-aer,14,65536,0.1065020730020478,0.0039021947792188
qiskit-aer,15,65536,0.0743392040021717,0.0038846131952222
qiskit-aer,16,65536,0.0856930849986383,0.0038964625766689
qiskit-aer,17,65536,0.0973411540035158,0.0039051769690154
qiskit-aer,18,65536,0.1158778039971366,0.003911610739626
qiskit-aer,19,65536,0.203453130001435,0.0039046403429435
qiskit-aer,20,65536,0.2041498649996356,0.0039064288098417
qiskit-aer,21,65536,0.3787534479997703,0.0039051769690154
qiskit-aer,22,65536,0.6502675299998373,0.00390625
qiskit-aer,23,65536,1.6203427360014755,0.0039052962092398
qiskit-aer,24,65536,3.178028001995699,0.0039064288098417
qiskit-aer,25,65536,6.010064781003166,0.0039066076114992
qiskit-aer,26,65536,12.798482272999536,0.0039060115741444
qiskit-aer,27,65536,25.569240799995896,0.0039060115741444
qiskit-aer,28,65536,53.16351532599947,0.00390630960419
qiskit-aer,3,131072,0.0488816790020791,0.0015732840089075
qiskit-aer,4,131072,0.0526429719975567,0.0016281564093541
qiskit-aer,5,131072,0.063036519997695,0.0032360686449675
qiskit-aer,6,131072,0.0679481560000567,0.0029201551171985
qiskit-aer,7,131072,0.0811856939981225,0.0025230581896065
qiskit-aer,8,131072,0.1080259800000931,0.0027170929408058
qiskit-aer,9,131072,0.1630534380019526,0.0028423769840518
qiskit-aer,10,131072,0.1440949330062721,0.0027779588313338
qiskit-aer,11,131072,0.1496179349996964,0.002785429147991
qiskit-aer,12,131072,0.1622726019995752,0.0027704683717186
qiskit-aer,13,131072,0.1770630699975299,0.0028070573663279
qiskit-aer,14,131072,0.1876965980045497,0.002762957605321
qiskit-aer,15,131072,0.1349771730019711,0.0027789225202206
qiskit-aer,16,131072,0.1577084150048904,0.0027579390642663
qiskit-aer,17,131072,0.2205097650003153,0.0027604283888885
qiskit-aer,18,131072,0.2138851859999704,0.0027580234849423
qiskit-aer,19,131072,0.2536143379984423,0.002767167828876
qiskit-aer,20,131072,0.3185457950021373,0.0027640949976764
qiskit-aer,21,131072,0.4678850170021178,0.0027621990835592
qiskit-aer,22,131072,0.8278326150029898,0.0027622623016616
qiskit-aer,23,131072,1.4800175709970065,0.0027607868354244
qiskit-aer,24,131072,3.27562722699804,0.0027621990835592
qiskit-aer,25,131072,8.156042577997141,0.0027627469257213
qiskit-aer,26,131072,14.05100662699988,0.0027622833740409
qiskit-aer,27,131072,29.306728643001406,0.0027618197445565
qiskit-aer,28,131072,59.18197807799879,0.0027620937168398
qiskit-aer,3,262144,0.098390235005354,0.0015285373417866
qiskit-aer,4,262144,0.102872067996941,0.0012077960481732
qiskit-aer,5,262144,0.1103317509987391,0.001622820818935
qiskit-aer,6,262144,0.1294436079988372,0.0016545674976415
qiskit-aer,7,262144,0.15355767699657,0.002086196517668
qiskit-aer,8,262144,0.1971316159979323,0.0019699430573675
qiskit-aer,9,262144,0.2859626119970926,0.0019469835164066
qiskit-aer,10,262144,0.2745901570015121,0.0019739427360939
qiskit-aer,11,262144,0.2882517519974499,0.0019815213525845
qiskit-aer,12,262144,0.3066704430020763,0.0019575679432417
qiskit-aer,13,262144,0.3289051559986546,0.0019652689455699
qiskit-aer,14,262144,0.3462266709975665,0.0019598561764038
qiskit-aer,15,262144,0.2812995860003866,0.0019557160833372
qiskit-aer,16,262144,0.2976927190029528,0.001956616202046
qiskit-aer,17,262144,0.3259330549990409,0.0019620675762227
qiskit-aer,18,262144,0.372310232000018,0.0019530802960048
qiskit-aer,19,262144,0.4658324920019367,0.0019494782616206
qiskit-aer,20,262144,0.5796315400002641,0.0019552174922456
qiskit-aer,21,262144,0.9276192149991402,0.0019538773637311
qiskit-aer,22,262144,1.182647638997878,0.0019532516557634
qiskit-aer,23,262144,2.355566796999483,0.0019529908849446
qiskit-aer,24,262144,4.257353804998274,0.0019532516557634
qiskit-aer,25,262144,8.804057959998318,0.0019529238239631
qiskit-aer,26,262144,17.57552444600151,0.0019528567606787
qiskit-aer,27,262144,34.92280964300153,0.001953125
qiskit-aer,28,262144,71.18771880400163,0.00195290892121
qiskit-aer,3,524288,0.199047514994163,0.0025148404381422
qiskit-aer,4,524288,0.2084464060026221,0.0013718279356367
qiskit-aer,5,524288,0.2220382550003705,0.0011230996109149
qiskit-aer,6,524288,0.2594530409987783,0.0012441967151684
qiskit-aer,7,524288,0.3203031659941189,0.0012958296963844
qiskit-aer,8,524288,0.4277351549972081,0.0013690086990253
qiskit-aer,9,524288,0.6092839560005814,0.0013893460516417
qiskit-aer,10,524288,0.5690015700020012,0.0013458557947187
qiskit-aer,11,524288,0.5882183200010331,0.0013946592677217
qiskit-aer,12,524288,0.6014265779958805,0.0014105742621225
qiskit-aer,13,524288,0.6279333569982555,0.001388625782156
qiskit-aer,14,524288,0.6804122300018207,0.0013761596388682
qiskit-aer,15,524288,0.4264013960055308,0.0013841937980131
qiskit-aer,16,524288,0.4886724280004273,0.0013808966998177
qiskit-aer,17,524288,0.6007019729950116,0.001380901968817
qiskit-aer,18,524288,0.7253281430021161,0.0013795682704853
qiskit-aer,19,524288,0.85652265400131,0.0013809441200876
qiskit-aer,20,524288,1.0985126999948989,0.0013811732951071
qiskit-aer,21,524288,1.369345009996323,0.0013816446965591
qiskit-aer,22,524288,1.9354817839994207,0.0013808176624156
qiskit-aer,23,524288,3.104708460996335,0.0013815683351753
qiskit-aer,24,524288,5.791276545001892,0.0013812496783304
qiskit-aer,25,524288,11.819483638995736,0.0013811838309752
qiskit-aer,26,524288,23.761513160003236,0.0013809441200876
qiskit-aer,27,524288,47.68853665400093,0.0013809046033091
qiskit-aer,28,524288,95.9665540049973,0.0013811811970157
cudaq-gpu,3,1024,0.1693951529996411,0.0253153933531557
cudaq-gpu,4,1024,0.0243439969999599,0.0228189871983357
cudaq-gpu,5,1024,0.0253837239997665,0.0344990658840931
cudaq-gpu,6,1024,0.0282916760006628,0.0256521983136009
cudaq-gpu,7,1024,0.0271874780000871,0.0320336317712045
cudaq-gpu,8,1024,0.0311651170004552,0.030974124076472
cudaq-gpu,9,1024,0.0363641889998689,0.0302261475401214
cudaq-gpu,10,1024,0.0303639490002751,0.0310048981765381
cudaq-gpu,11,1024,0.031101743000363,0.0313718328207207
cudaq-gpu,12,1024,0.0343799890006266,0.0307888335360047
cudaq-gpu,13,1024,0.0401798840002811,0.0317044591420857
cudaq-gpu,14,1024,0.0378697369997098,0.0314325721473263
cudaq-gpu,15,1024,0.0406395689997225,0.031097037750177
cudaq-gpu,16,1024,0.0456015270001444,0.0311889051224049
cudaq-gpu,17,1024,0.0504053499998917,0.03125
cudaq-gpu,18,1024,0.0486598280003818,0.0311889051224049
cudaq-gpu,19,1024,0.0519509509995259,0.0312194675061441
cudaq-gpu,20,1024,0.0563535159999446,0.0312347374838271
cudaq-gpu,21,1024,0.079968208999162,0.0312423696739187
cudaq-gpu,22,1024,0.0692122489999746,0.0312461850698753
cudaq-gpu,23,1024,0.0839651639998919,0.0312480925931559
cudaq-gpu,24,1024,0.1127042500002062,0.0312795499326322
cudaq-gpu,25,1024,0.1677974300000642,0.0312495231592037
cudaq-gpu,26,1024,0.2587168889995155,0.0312497615805113
cudaq-gpu,27,1024,0.4511011960003088,0.031249880790483
cudaq-gpu,28,1024,0.8472732079999332,0.0312499403952983
cudaq-gpu,3,2048,0.0273319610005273,0.0233151101295182
cudaq-gpu,4,2048,0.0237582059999112,0.0184645218761611
cudaq-gpu,5,2048,0.0238864200000534,0.0220862946833957
cudaq-gpu,6,2048,0.0242782210007135,0.0228815908473827
cudaq-gpu,7,2048,0.0299002890005795,0.0237908744435152
cudaq-gpu,8,2048,0.0282403769997472,0.0217381145405781
cudaq-gpu,9,2048,0.0283706790005453,0.0229128285286134
cudaq-gpu,10,2048,0.0307996900000944,0.0228294330616425
cudaq-gpu,11,2048,0.0373599060003471,0.0222154554024947
cudaq-gpu,12,2048,0.0343930240005647,0.0225139489910127
cudaq-gpu,13,2048,0.0358501229993635,0.0218911247768163
cudaq-gpu,14,2048,0.0385801840002386,0.0221294320187981
cudaq-gpu,15,2048,0.0458571669996672,0.0222047207048868
cudaq-gpu,16,2048,0.0440630260000034,0.0220214302417571
cudaq-gpu,17,2048,0.0467351490005967,0.0221294320187981
cudaq-gpu,18,2048,0.0505064480003056,0.0220646943900293
cudaq-gpu,19,2048,0.0601462550002906,0.0221186555720822
cudaq-gpu,20,2048,0.0576771630003349,0.0220862946833957
cudaq-gpu,21,2048,0.0628536160002113,0.0220970869120796
cudaq-gpu,22,2048,0.0717045170003984,0.0221024810503052
cudaq-gpu,23,2048,0.0920094720004272,0.0221051776258109
cudaq-gpu,24,2048,0.1116478220001226,0.0220957381717657
cudaq-gpu,25,2048,0.1637284369999179,0.0220964125522133
cudaq-gpu,26,2048,0.2593882860001031,0.022096749734719
cudaq-gpu,27,2048,0.4592140320000908,0.0220969183240424
cudaq-gpu,28,2048,0.8368846439998379,0.0220970026182218
cudaq-gpu,3,4096,0.019995067000309,0.0181749536820651
cudaq-gpu,4,4096,0.0237899529993228,0.0163920022769477
cudaq-gpu,5,4096,0.0421151800001098,0.0169989210796183
cudaq-gpu,6,4096,0.02896833900013,0.0151091293425447
cudaq-gpu,7,4096,0.0300017689996821,0.014632152406027
cudaq-gpu,8,4096,0.0311312660005569,0.0144600516552352
cudaq-gpu,9,4096,0.0441488719998233,0.015590629922939
cudaq-gpu,10,4096,0.0395215990001815,0.0152231028008983
cudaq-gpu,11,4096,0.0383061339998676,0.0159683646736014
cudaq-gpu,12,4096,0.0372269449999294,0.0157428114698764
cudaq-gpu,13,4096,0.0466471569998248,0.0157124930758828
cudaq-gpu,14,4096,0.0422817050002777,0.015575329988024
cudaq-gpu,15,4096,0.0599403239993989,0.015625
cudaq-gpu,16,4096,0.0486804649999612,0.015625
cudaq-gpu,17,4096,0.0593942619998415,0.0156516801023677
cudaq-gpu,18,4096,0.0530563519996576,0.0156821160671403
cudaq-gpu,19,4096,0.0557135459994242,0.0156059148579071
cudaq-gpu,20,4096,0.0594751380003799,0.015632627532795
cudaq-gpu,21,4096,0.0735673040007895,0.0156173687419135
cudaq-gpu,22,4096,0.0720121409995044,0.015625
cudaq-gpu,23,4096,0.0861253439998108,0.015625
cudaq-gpu,24,4096,0.1136149459998705,0.0156269072322316
cudaq-gpu,25,4096,0.1741040389997579,0.0156278607610626
cudaq-gpu,26,4096,0.2602062189998833,0.0156245231555656
cudaq-gpu,27,4096,0.4397668560004604,0.0156247615796018
cudaq-gpu,28,4096,0.8403421470002286,0.0156248807902556
cudaq-gpu,3,8192,0.0289304850002736,0.007724263681424
cudaq-gpu,4,8192,0.0263879329995688,0.0086712893726455
cudaq-gpu,5,8192,0.0264532769997458,0.0100824462143087
cudaq-gpu,6,8192,0.0261107010001069,0.0111812674780805
cudaq-gpu,7,8192,0.0330989479998606,0.0122800550194914
cudaq-gpu,8,8192,0.0299334149995047,0.0106264292933693
cudaq-gpu,9,8192,0.0301528459995097,0.011139877486865
cudaq-gpu,10,8192,0.0316897060001792,0.011169266829783
cudaq-gpu,11,8192,0.0407763680004791,0.0110633691995822
cudaq-gpu,12,8192,0.036428593999517,0.0111945864434671
cudaq-gpu,13,8192,0.0604031659995598,0.0109809014375239
cudaq-gpu,14,8192,0.0480998180000824,0.0109510065878934
cudaq-gpu,15,8192,0.0510341010003685,0.0110188321253874
cudaq-gpu,16,8192,0.0491945309995571,0.0110674091373468
cudaq-gpu,17,8192,0.0520046320007168,0.0110336977914811
cudaq-gpu,18,8192,0.0566558829996211,0.0110566326896721
