n_bits,shots,sim_time_s,throughput,l2_error,backend,init,method
3,1024,0.002187114005209878,468196.9012866962,0.2509138570742457,GPU,ghz,statevector
4,1024,0.0025288050092058256,404934.34498596966,0.19245963329804708,GPU,ghz,statevector
5,1024,0.003167294999002479,323304.27078074595,0.12772451940189603,GPU,ghz,statevector
6,1024,0.004091587994480506,250269.57782195116,0.09631896879639025,GPU,ghz,statevector
7,1024,0.004318395993323065,237125.0810678939,0.06848481793862007,GPU,ghz,statevector
8,1024,0.005363588003092445,190916.97561587498,0.0534171653561615,GPU,ghz,statevector
9,1024,0.0062774350080871955,163123.9508940809,0.04349815908460954,GPU,ghz,statevector
10,1024,0.0076144250051584095,134481.592412597,0.038173477120492315,GPU,ghz,statevector
11,1024,0.00854792699101381,119795.12706139182,0.035507146411519225,GPU,ghz,statevector
12,1024,0.00989619898609817,103474.07135188761,0.03377268840974723,GPU,ghz,statevector
13,1024,0.010879562003538013,94121.43610808939,0.032093118603818326,GPU,ghz,statevector
14,1024,0.012413634001859464,82489.94612267551,0.03140221716955767,GPU,ghz,statevector
15,1024,0.018429227988235652,55563.91188245504,0.03158390943124263,GPU,ghz,statevector
16,1024,0.0181583630037494,56392.748607821144,0.03140221716955767,GPU,ghz,statevector
17,1024,0.022722704990883358,45065.05719327175,0.03137183282072072,GPU,ghz,statevector
18,1024,0.03227392899862025,31728.396007928794,0.03125,GPU,ghz,statevector
19,1024,0.04967189399758354,20615.279941808058,0.031219467506144103,GPU,ghz,statevector
20,1024,0.060731468998710625,16861.11034168695,0.03132620103973719,GPU,ghz,statevector
21,1024,0.1048054449929623,9770.484730719494,0.031272879807824054,GPU,ghz,statevector
22,1024,0.17512650399294216,5847.201746465907,0.031246185069875306,GPU,ghz,statevector
23,1024,0.33637878100853413,3044.1872609497937,0.031248092593155974,GPU,ghz,statevector
24,1024,0.6984379210043699,1466.12887016138,0.031249046311131234,GPU,ghz,statevector
25,1024,1.4388587069988716,711.675159638036,0.031249523159203763,GPU,ghz,statevector
26,1024,2.9943249699863372,341.98024939312864,0.031249761580511397,GPU,ghz,statevector
27,1024,6.211238026007777,164.86246312124794,0.031249880790483076,GPU,ghz,statevector
3,2048,0.0023355830053333193,876868.8568650219,0.25212339813222845,GPU,ghz,statevector
4,2048,0.0029785600054310635,687580.5745950077,0.18133979414668505,GPU,ghz,statevector
5,2048,0.003700435991049744,553448.2977015421,0.12260041150370951,GPU,ghz,statevector
6,2048,0.004357993006124161,469941.0937837681,0.09215718433608884,GPU,ghz,statevector
7,2048,0.0047770659875823185,428715.032474671,0.06657478040142563,GPU,ghz,statevector
8,2048,0.0057018640072783455,359180.78673671593,0.05018619202159999,GPU,ghz,statevector
9,2048,0.006767166007193737,302637.7656204833,0.03735271777129937,GPU,ghz,statevector
10,2048,0.00793839899415616,257986.5287078203,0.031081700122733494,GPU,ghz,statevector
11,2048,0.01036972799920477,197497.94788803105,0.02682437831019604,GPU,ghz,statevector
12,2048,0.010736119002103806,190757.94517541045,0.024433585943743757,GPU,ghz,statevector
13,2048,0.011519357998622581,177787.68575860636,0.0234375,GPU,ghz,statevector
14,2048,0.014033491999725811,145936.59226370844,0.022850310462495294,GPU,ghz,statevector
15,2048,0.017273102013859898,118565.84870260648,0.02242907046456221,GPU,ghz,statevector
16,2048,0.019710144988493994,103905.88203159042,0.02218323572578232,GPU,ghz,statevector
17,2048,0.02326456899754703,88030.85929577879,0.02215096918401124,GPU,ghz,statevector
18,2048,0.0522128759912448,39224.04121817412,0.022129432018798165,GPU,ghz,statevector
19,2048,0.04370125901186839,46863.63840098529,0.02220472070488686,GPU,ghz,statevector
20,2048,0.06164984799397644,33219.87104007299,0.02209708691207961,GPU,ghz,statevector
21,2048,0.10505003501020838,19495.471846353816,0.022107873872405804,GPU,ghz,statevector
22,2048,0.17509616499592084,11696.429787869492,0.022102481050305225,GPU,ghz,statevector
23,2048,0.3495917010004632,5858.262636495729,0.022094389349118684,GPU,ghz,statevector
24,2048,0.7025215159956133,2915.2132046768347,0.0221065257902147,GPU,ghz,statevector
25,2048,1.4586376749939518,1404.0498439809544,0.022096412552213365,GPU,ghz,statevector
26,2048,3.02629995199095,676.7339763041851,0.022096749734719045,GPU,ghz,statevector
27,2048,6.240775422003935,328.1643484204051,0.022096918324042453,GPU,ghz,statevector
3,4096,0.00336485898878891,1217287.2663155028,0.24767558025408806,GPU,ghz,statevector
4,4096,0.0036139250005362555,1133393.7476268078,0.17608785380771144,GPU,ghz,statevector
5,4096,0.004514425003435463,907313.7768116554,0.1245078890342403,GPU,ghz,statevector
6,4096,0.005086975987069309,805193.5001092415,0.08925535503318335,GPU,ghz,statevector
7,4096,0.00585335299547296,699769.8589454431,0.06370900949335973,GPU,ghz,statevector
8,4096,0.0068075610033702105,601683.9214473728,0.046910590329982224,GPU,ghz,statevector
9,4096,0.008004007002455182,511743.68022711325,0.0357130254795615,GPU,ghz,statevector
10,4096,0.009390136998263188,436202.36858712515,0.02775267950644762,GPU,ghz,statevector
11,4096,0.01089650799985975,375900.2425412545,0.022094389349118684,GPU,ghz,statevector
12,4096,0.013008467998588458,314871.8204514517,0.019177086803374495,GPU,ghz,statevector
13,4096,0.01469934600754641,278651.8528033274,0.01767281354575572,GPU,ghz,statevector
14,4096,0.015911415001028217,257425.25097455573,0.016504339630034736,GPU,ghz,statevector
15,4096,0.018807183994795196,217789.11724017534,0.01612437473238122,GPU,ghz,statevector
16,4096,0.022173995996126905,184720.87758631512,0.01588228121805722,GPU,ghz,statevector
17,4096,0.026806043009855784,152801.36641182075,0.015739024864537304,GPU,ghz,statevector
18,4096,0.03152157299336977,129942.75383596974,0.015659294639477125,GPU,ghz,statevector
19,4096,0.04333713099185843,94514.79380971249,0.01564025134574899,GPU,ghz,statevector
20,4096,0.06549702399934176,62537.19253016999,0.01563262753279504,GPU,ghz,statevector
21,4096,0.10450081298768055,39195.86731332771,0.01562881423171799,GPU,ghz,statevector
22,4096,0.1795046620100038,22818.348861444778,0.01564406185898515,GPU,ghz,statevector
23,4096,0.34895253099966794,11737.986219116714,0.015621184836959366,GPU,ghz,statevector
24,4096,0.7090015650028363,5777.138164686018,0.015626907232231698,GPU,ghz,statevector
25,4096,1.457335068989778,2810.609644382839,0.015627860761062696,GPU,ghz,statevector
26,4096,3.0335634680086514,1350.2272305147362,0.015624523155565617,GPU,ghz,statevector
27,4096,5.2880839010031195,774.5716741035467,0.015624761579601881,GPU,ghz,statevector
3,8192,0.003762266002013348,2177411.165403008,0.24680220339470052,GPU,ghz,statevector
4,8192,0.005273574992315844,1553405.4245813533,0.17742330976382287,GPU,ghz,statevector
5,8192,0.00465351999446284,1760387.837539658,0.12395745872808768,GPU,ghz,statevector
6,8192,0.00532866500725504,1537345.655778041,0.08795773804820217,GPU,ghz,statevector
7,8192,0.006481193995568901,1263964.6345412207,0.06296485642731761,GPU,ghz,statevector
8,8192,0.007186813003499992,1139865.4724994902,0.0459753163702795,GPU,ghz,statevector
9,8192,0.008023823000257835,1020959.7095719535,0.03306506006032051,GPU,ghz,statevector
10,8192,0.00915084000735078,895218.3617481507,0.02413722437143624,GPU,ghz,statevector
11,8192,0.010678092992748134,767178.1848653569,0.01881942611386891,GPU,ghz,statevector
12,8192,0.012534945999504998,653532.9310811152,0.015779683252498903,GPU,ghz,statevector
13,8192,0.013665357007994317,599472.080766542,0.013612892440869774,GPU,ghz,statevector
14,8192,0.015576290999888442,525927.5138130555,0.01244279168049024,GPU,ghz,statevector
15,8192,0.019190892009646632,426869.1625111616,0.011760636811044457,GPU,ghz,statevector
16,8192,0.02147696200700011,381431.97335498076,0.011406881236546549,GPU,ghz,statevector
17,8192,0.024927346006734297,328635.0659948666,0.011251678341604407,GPU,ghz,statevector
18,8192,0.03111168000032194,263309.4709098072,0.011158588751978945,GPU,ghz,statevector
19,8192,0.041819424004643224,195889.8333724166,0.01107952011212205,GPU,ghz,statevector
20,8192,0.0625100979959825,131050.826388506,0.011064716009399083,GPU,ghz,statevector
21,8192,0.10472847499477211,78221.32424260864,0.011060675087963177,GPU,ghz,statevector
22,8192,0.15865863399812952,51632.86606953,0.011052588812905467,GPU,ghz,statevector
23,8192,0.32117525600187946,25506.323562958605,0.011056632689672122,GPU,ghz,statevector
24,8192,0.6081094660039525,13471.258807779772,0.011047194674559342,GPU,ghz,statevector
25,8192,1.2344740739936242,6636.024338282142,0.011048543456039806,GPU,ghz,statevector
26,8192,2.5481684139958816,3214.8581526265007,0.011049217785037719,GPU,ghz,statevector
27,8192,5.291246314009186,1548.217473511058,0.011050903427511185,GPU,ghz,statevector
3,16384,0.006408164001186378,2556738.55990058,0.25222197685781755,GPU,ghz,statevector
4,16384,0.006566217998624779,2495195.8651740537,0.17804108868478413,GPU,ghz,statevector
5,16384,0.007529713009716943,2175912.943674849,0.12546331253716,GPU,ghz,statevector
6,16384,0.03263282499392517,502071.1508442802,0.08852728091040214,GPU,ghz,statevector
7,16384,0.009402712996234186,1742475.8159226852,0.0636909386115525,GPU,ghz,statevector
8,16384,0.016559715993935242,989388.9488201612,0.044737645404426964,GPU,ghz,statevector
9,16384,0.011757454005419277,1393498.9660557671,0.03171937819737324,GPU,ghz,statevector
10,16384,0.01285703299799934,1274321.999682935,0.023295288973471523,GPU,ghz,statevector
11,16384,0.01477095199516043,1109204.0652063638,0.017329900556015968,GPU,ghz,statevector
12,16384,0.028037288997438736,584364.6296008403,0.013435222965089698,GPU,ghz,statevector
13,16384,0.019080853002378717,858661.8217727209,0.011143221088551215,GPU,ghz,statevector
14,16384,0.021470360006787814,763098.5225594833,0.009583880091010997,GPU,ghz,statevector
15,16384,0.025324523987364955,646961.8148864078,0.008754237375120605,GPU,ghz,statevector
16,16384,0.06269193699699827,261341.42259449532,0.008292699132948628,GPU,ghz,statevector
17,16384,0.032631057998514734,502098.3383605199,0.008032560486504933,GPU,ghz,statevector
18,16384,0.03814773799967952,429488.1127719196,0.007934100797406687,GPU,ghz,statevector
19,16384,0.04973405599594116,329432.2104221122,0.007870459140534605,GPU,ghz,statevector
20,16384,0.06996096301008947,234187.74263637807,0.007837256308239513,GPU,ghz,statevector
21,16384,0.11242338300507981,145734.80678178574,0.00782726799391107,GPU,ghz,statevector
22,16384,0.16678474498621654,98234.40388000719,0.007826316061041158,GPU,ghz,statevector
23,16384,0.3120035179890692,52512.2284056233,0.007816790356365733,GPU,ghz,statevector
24,16384,0.6130924460012466,26723.539177265753,0.007813453616115849,GPU,ghz,statevector
25,16384,1.2485953150026035,13121.945760276889,0.007814407115858995,GPU,ghz,statevector
26,16384,2.565998418998788,6385.039008088234,0.0078125,GPU,ghz,statevector
27,16384,5.324412606001715,3077.146947915314,0.007812976822607176,GPU,ghz,statevector
3,32768,0.01108144799945876,2957014.282032497,0.24952341638306572,GPU,ghz,statevector
4,32768,0.01222795200010296,2679761.909412475,0.1773027744513572,GPU,ghz,statevector
5,32768,0.012749273999361321,2570185.565204852,0.12504087465278635,GPU,ghz,statevector
6,32768,0.013602271996205673,2409009.31911526,0.08937412338227071,GPU,ghz,statevector
7,32768,0.014819395990343764,2211156.245595397,0.062462706168053786,GPU,ghz,statevector
8,32768,0.015867185007664375,2065142.618818144,0.04452628643414679,GPU,ghz,statevector
9,32768,0.017743963995599188,1846712.4937881432,0.03186131618398745,GPU,ghz,statevector
10,32768,0.019256722007412463,1701639.5618832042,0.02263495167639234,GPU,ghz,statevector
11,32768,0.021857447005459107,1499168.6811280327,0.016624490948821312,GPU,ghz,statevector
12,32768,0.037707960000261664,868994.2388761581,0.012465151250734875,GPU,ghz,statevector
13,32768,0.028571463000844233,1146878.6179773773,0.009504743677914236,GPU,ghz,statevector
14,32768,0.031787591011379845,1030842.5066960617,0.007859091114658141,GPU,ghz,statevector
15,32768,0.03683584800455719,889568.2270147837,0.006790829743459928,GPU,ghz,statevector
16,32768,0.04208796100283507,778559.9306602838,0.006154874250954214,GPU,ghz,statevector
17,32768,0.054284465993987396,603634.9331248725,0.005862076454479413,GPU,ghz,statevector
18,32768,0.05380117800086737,609057.2960962253,0.005698212898917874,GPU,ghz,statevector
19,32768,0.06536457499896642,501311.29897988547,0.005606769317848814,GPU,ghz,statevector
20,32768,0.09156371500284877,357871.0190928853,0.00556207454854544,GPU,ghz,statevector
21,32768,0.13870270099141635,236246.3006544325,0.005542617292062133,GPU,ghz,statevector
22,32768,0.18363242100167554,178443.43510398423,0.005535555559291088,GPU,ghz,statevector
23,32768,0.3310215329984203,98990.5390842244,0.005529832313454416,GPU,ghz,statevector
24,32768,0.6324389449873706,51812.116030669735,0.00552747396039415,GPU,ghz,statevector
25,32768,1.2681598860071972,25839.013172992,0.005525114600688944,GPU,ghz,statevector
26,32768,2.5878494109929306,12662.251466721653,0.005525114600688944,GPU,ghz,statevector
27,32768,5.34674160600116,6128.592405367287,0.005524946036442068,GPU,ghz,statevector
3,65536,0.028346626000711694,2311950.6356190187,0.2510154838662533,GPU,ghz,statevector
4,65536,0.023254739004187286,2818178.264146481,0.1773667292789572,GPU,ghz,statevector
5,65536,0.023257656997884624,2817824.684832215,0.12455832413230802,GPU,ghz,statevector
6,65536,0.02456208500370849,2668177.395775037,0.08747887058250346,GPU,ghz,statevector
7,65536,0.026273080991813913,2494416.2437751214,0.0625008270089747,GPU,ghz,statevector
8,65536,0.02975729999889154,2202350.3477278254,0.04457389771988824,GPU,ghz,statevector
9,65536,0.029715679003857076,2205435.049675071,0.03156728899381994,GPU,ghz,statevector
10,65536,0.031958698004018515,2050646.7438617006,0.022568414457774733,GPU,ghz,statevector
11,65536,0.03574105000006966,1833633.8747706702,0.016088553441509442,GPU,ghz,statevector
12,65536,0.040494082000805065,1618409.3270393703,0.011792349168258866,GPU,ghz,statevector
13,65536,0.045616048999363557,1436687.337847133,0.00869997223912666,GPU,ghz,statevector
14,65536,0.05106004899425898,1283508.3649717737,0.006813113392766729,GPU,ghz,statevector
15,65536,0.058636575005948544,1117664.1881513633,0.005516975504957019,GPU,ghz,statevector
16,65536,0.06622147699818015,989648.7207888917,0.00478863492366899,GPU,ghz,statevector
17,65536,0.07682211700011976,853087.6596371047,0.004367480201670859,GPU,ghz,statevector
18,65536,0.09293596199131571,705173.7410984559,0.004148258334671335,GPU,ghz,statevector
19,65536,0.09987663599895313,656169.4769203772,0.0040254293529677935,GPU,ghz,statevector
20,65536,0.14331661599862855,457281.24086203054,0.003965465421750018,GPU,ghz,statevector
21,65536,0.16502159099036362,397135.91177185386,0.003934815388515073,GPU,ghz,statevector
22,65536,0.22725359999458306,288382.6702924053,0.003923615954498332,GPU,ghz,statevector
23,65536,0.3674980210053036,178330.21201236403,0.003914526278036178,GPU,ghz,statevector
24,65536,0.6677563039993402,98143.58862281105,0.003910598718415566,GPU,ghz,statevector
25,65536,1.3094863029982662,50047.106143795056,0.003907978152425103,GPU,ghz,statevector
26,65536,2.6233879270002944,24981.436914264126,0.003906786404973501,GPU,ghz,statevector
27,65536,5.387674911005888,12164.059837040968,0.003907143967376889,GPU,ghz,statevector
3,131072,0.0406049410084961,3227981.5397977,0.24947134459270265,GPU,ghz,statevector
4,131072,0.041701782000018284,3143079.1135002943,0.17718724713631237,GPU,ghz,statevector
5,131072,0.04722446799860336,2775510.3562813327,0.12485794707360616,GPU,ghz,statevector
6,131072,0.05409701001190115,2422906.5519732907,0.08844011779304221,GPU,ghz,statevector
7,131072,0.048655439997673966,2693881.7120195823,0.06271697822004768,GPU,ghz,statevector
8,131072,0.05256880700471811,2493341.7261730162,0.04420630518313728,GPU,ghz,statevector
9,131072,0.05351712899573613,2449159.7822903185,0.03137138937422653,GPU,ghz,statevector
10,131072,0.06201890599913895,2113420.0593899507,0.02220863674503324,GPU,ghz,statevector
11,131072,0.06144620099803433,2133118.042630382,0.01593722629545838,GPU,ghz,statevector
12,131072,0.07906742699560709,1657724.3623633059,0.011393463041539063,GPU,ghz,statevector
13,131072,0.07657033299619798,1711785.6860634033,0.008297632124940902,GPU,ghz,statevector
14,131072,0.08915183499630075,1470210.9048617864,0.006156264297231541,GPU,ghz,statevector
15,131072,0.09893125799135305,1324879.5442534063,0.004789801697677859,GPU,ghz,statevector
16,131072,0.11537680700712372,1136034.2117277281,0.003887818482821126,GPU,ghz,statevector
17,131072,0.158390413998859,827524.8273607278,0.003380347010873704,GPU,ghz,statevector
18,131072,0.15217601000040304,861318.4167442217,0.0030941122160903943,GPU,ghz,statevector
19,131072,0.17551127800834365,746801.0118060274,0.0029250545426830203,GPU,ghz,statevector
20,131072,0.19777079399500508,662746.9979379785,0.0028505974599795526,GPU,ghz,statevector
21,131072,0.2459609770012321,532897.5417077783,0.0028034054221989626,GPU,ghz,statevector
22,131072,0.2956951870000921,443267.2757705697,0.0027851783703411125,GPU,ghz,statevector
23,131072,0.4480426669906592,292543.56706776004,0.0027729884307931578,GPU,ghz,statevector
24,131072,0.7582780200027628,172854.80594508388,0.002768324517802622,GPU,ghz,statevector
25,131072,1.3901036540046334,94289.37160362511,0.0027638844047755753,GPU,ghz,statevector
26,131072,2.7085340620105853,48392.22878471142,0.0027630418726629098,GPU,ghz,statevector
27,131072,5.498825235001277,23836.364022936537,0.002762852267529358,GPU,ghz,statevector
3,262144,0.08147051600099076,3217654.838430287,0.2503767786673957,GPU,ghz,statevector
4,262144,0.08547394500055816,3066946.3074190402,0.17719753525656406,GPU,ghz,statevector
5,262144,0.08710049399815034,3009672.941758136,0.12467539760134694,GPU,ghz,statevector
6,262144,0.09577206200629007,2737165.6671940824,0.08861079998359672,GPU,ghz,statevector
7,262144,0.09694352599035483,2704089.8019954567,0.06259995110764166,GPU,ghz,statevector
8,262144,0.09934767299273517,2638652.6438235687,0.044239342699937644,GPU,ghz,statevector
9,262144,0.1044270120037254,2510308.3480991307,0.03136880557072088,GPU,ghz,statevector
10,262144,0.1314223450026475,1994668.4104192413,0.02218128735869874,GPU,ghz,statevector
11,262144,0.12988383699848782,2018295.7791973148,0.015753648551991718,GPU,ghz,statevector
12,262144,0.12651104699762072,2072103.6322221735,0.011217722968031722,GPU,ghz,statevector
13,262144,0.13795641201431863,1900194.38873774,0.008059855022183302,GPU,ghz,statevector
14,262144,0.15770826301013585,1662208.4030127965,0.005864220840629771,GPU,ghz,statevector
15,262144,0.18041561500285752,1453000.617467884,0.004366450529706686,GPU,ghz,statevector
16,262144,0.2116585110052256,1238523.3117014982,0.0033810787576009573,GPU,ghz,statevector
17,262144,0.26362001000961754,994400.9940309019,0.002766052743732449,GPU,ghz,statevector
18,262144,0.2913443149882369,899773.8638235799,0.0023877506308203045,GPU,ghz,statevector
19,262144,0.4309128759923624,608345.7111749111,0.0021839133516668207,GPU,ghz,statevector
20,262144,0.3881788689905079,675317.5428681312,0.0020698590951740785,GPU,ghz,statevector
21,262144,0.4502814730076352,582178.0724155065,0.00201480306132775,GPU,ghz,statevector
22,262144,0.5103481520054629,513657.1945443117,0.0019848379788070473,GPU,ghz,statevector
23,262144,0.6450987279968103,406362.60563405755,0.001967932775118648,GPU,ghz,statevector
24,262144,0.9657351320056478,271445.0280539933,0.0019608211877036926,GPU,ghz,statevector
25,262144,1.6000594200013438,163833.91561782113,0.0019575159068560524,GPU,ghz,statevector
26,262144,2.934009425996919,89346.6795563987,0.0019551356218555065,GPU,ghz,statevector
27,262144,5.70282556899474,45967.38876693526,0.0019542050355684857,GPU,ghz,statevector
3,524288,0.17400108500442002,3013130.6364364447,0.25046365758461997,GPU,ghz,statevector
4,524288,0.17654620700341184,2969692.801102591,0.17667769737124212,GPU,ghz,statevector
5,524288,0.18766291700012516,2793775.1814848445,0.12515303007753284,GPU,ghz,statevector
6,524288,0.20257469700300135,2588121.852119725,0.08835287790966188,GPU,ghz,statevector
7,524288,0.2151416499982588,2436943.2883137376,0.06261913172294593,GPU,ghz,statevector
8,524288,0.21973643801175058,2385985.7051654006,0.04424151551597849,GPU,ghz,statevector
9,524288,0.2305107419961132,2274462.332904383,0.031257626601245356,GPU,ghz,statevector
10,524288,0.23208621199592017,2259022.6084142234,0.022069973311360264,GPU,ghz,statevector
11,524288,0.2612078050005948,2007168.2008078054,0.015663136056263533,GPU,ghz,statevector
12,524288,0.258892890997231,2025115.475285907,0.011124109525864826,GPU,ghz,statevector
13,524288,0.2739214439934585,1914008.6017234942,0.00792555985155031,GPU,ghz,statevector
14,524288,0.3036102110054344,1726845.7416625412,0.005692420562269502,GPU,ghz,statevector
15,524288,0.3476415420009289,1508128.1626538152,0.004130113202592076,GPU,ghz,statevector
16,524288,0.4036013019940583,1299024.5507377437,0.003092573920410062,GPU,ghz,statevector
17,524288,0.4962809080025181,1056433.9500993656,0.0023989320580609813,GPU,ghz,statevector
18,524288,0.6146785210003145,852946.6738918826,0.001952899606931622,GPU,ghz,statevector
19,524288,0.6865316640032688,763676.3568089464,0.0016919203752137433,GPU,ghz,statevector
20,524288,0.8426246349990834,622208.2505344391,0.001545055998165729,GPU,ghz,statevector
21,524288,0.9168404709926108,571842.121489667,0.0014644662052627595,GPU,ghz,statevector
22,524288,0.9939229230076307,527493.6193376987,0.0014237664468380899,GPU,ghz,statevector
23,524288,1.1076517670007888,473332.8791770226,0.0014026237753783696,GPU,ghz,statevector
24,524288,1.427205549000064,367352.8318099165,0.001391909799403074,GPU,ghz,statevector
25,524288,2.082901503003086,251710.4141718137,0.0013864338651024969,GPU,ghz,statevector
26,524288,3.5137397809885442,149210.82171101996,0.0013839362075659268,GPU,ghz,statevector
27,524288,6.191913988004671,84673.01080339303,0.0013824396575364472,GPU,ghz,statevector
